Rank,City,Country,Extra Info,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Description,imgsrc,imgurl,DescriptionB
11,Brisbane, Australia,,192.69,118.86,63.97,79.68,79.8,6.97,42.43,21.7,79.79,"Brisbane, capital of Queensland, is a large city on the Brisbane River. Clustered in its South Bank cultural precinct are the Queensland Museum and Sciencentre, with noted interactive exhibitions. Another South Bank cultural institution is Queensland Gallery of Modern Art, among Australia's major contemporary art museums. Looming over the city is Mt. Coot-tha, site of Brisbane Botanic Gardens.",https://www.azamaraclubcruises.com/sites/default/files/heros/brisbane-australia.jpg,,"Brisbane, capital of Queensland, is a large city on the Brisbane River. Clustered in its South Bank cultural precinct are the Queensland Museum and Sciencentre, with noted interactive exhibitions. Another South Bank cultural institution is Queensland Gallery of Modern Art, among Australia's major contemporary art museums. Looming over the city is Mt. Coot-tha, site of Brisbane Botanic Gardens."
12,Zurich, Switzerland,,192.05,134.5,81.86,73.64,130.04,10.39,33.77,14.06,61.05,"The city of Zurich, a global center for banking and finance, lies at the north end of Lake Zurich in northern Switzerland. The picturesque lanes of the central Altstadt (Old Town), on either side of the Limmat River, reflect its pre-medieval history. Waterfront promenades like the Limmatquai follow the river toward the 17th-century Rathaus (town hall).",http://img.myswitzerland.com/mys/n64489/images/buehne/st0032657_zuerich_nacht-1.jpg,,"The city of Zurich, a global center for banking and finance, lies at the north end of Lake Zurich in northern Switzerland. The picturesque lanes of the central Altstadt (Old Town), on either side of the Limmat River, reflect its pre-medieval history. Waterfront promenades like the Limmatquai follow the river toward the 17th-century Rathaus (town hall)."
13,Munich, Germany,,191.86,123.5,84.28,82.73,71.82,12.32,33.58,17.42,44.62,"Munich, Bavaria's capital, is home to centuries-old buildings and numerous museums. The city is known for its annual Oktoberfest celebration and its beer halls, including the famed Hofbr'uhaus, founded in 1589. In the Altstadt (Old Town), central Marienplatz square contains landmarks such as Neo-Gothic Neues Rathaus (town hall), with a popular glockenspiel show that chimes and reenacts stories from the 16th century.",http://cdn.wallpapersafari.com/82/63/0kGcJM.jpg,,"Munich, Bavaria's capital, is home to centuries-old buildings and numerous museums. The city is known for its annual Oktoberfest celebration and its beer halls, including the famed Hofbr'uhaus, founded in 1589. In the Altstadt (Old Town), central Marienplatz square contains landmarks such as Neo-Gothic Neues Rathaus (town hall), with a popular glockenspiel show that chimes and reenacts stories from the 16th century."
14,Dallas, United States, TX,191.44,163.48,56.5,68.12,70.2,2.31,39.97,43.87,72.26,"Dallas, a modern metropolis in north Texas, is a commercial and cultural hub of the region. Downtown's Sixth Floor Museum at Dealey Plaza commemorates the site of President John F. Kennedy's assassination in 1963. In the Arts District, the Dallas Museum of Art and the Crow Collection of Asian Art cover thousands of years of art. The sleek Nasher Sculpture Center showcases contemporary sculpture.",https://s-media-cache-ak0.pinimg.com/736x/08/76/9a/08769aff29e748cd3cb4554eab8e47ee.jpg,,"Dallas, a modern metropolis in north Texas, is a commercial and cultural hub of the region. Downtown's Sixth Floor Museum at Dealey Plaza commemorates the site of President John F. Kennedy's assassination in 1963. In the Arts District, the Dallas Museum of Art and the Crow Collection of Asian Art cover thousands of years of art. The sleek Nasher Sculpture Center showcases contemporary sculpture."
15,Sacramento, United States, CA,188.98,122.17,53.37,71.34,80.25,3.82,22.68,43.39,90.06,"Sacramento, capital of the U.S. state of California, lies at the confluence of the Sacramento River and American River. The district of Old Sacramento harkens back to the city's Gold Rush era, with wooden sidewalks and wagon rides. One of several museums in Old Sacramento, the California State Railroad Museum depicts the construction of the Transcontinental Railroad, one of the country's earliest technological feats.",http://www.calgary.ca/CA/city-manager/scripts/about-us/webparts/images/ourHistory_retina.jpg,,"Sacramento, capital of the U.S. state of California, lies at the confluence of the Sacramento River and American River. The district of Old Sacramento harkens back to the city's Gold Rush era, with wooden sidewalks and wagon rides. One of several museums in Old Sacramento, the California State Railroad Museum depicts the construction of the Transcontinental Railroad, one of the country's earliest technological feats."
16,Bursa, Turkey,,188.48,67.07,78.62,86.54,35.32,4.62,37.65,30.08,76.58,"Bursa is a large city in northwest Turkey, lying in the foothills of roughly 2,500m-high Mount Uluda_ near the Sea of Marmara. The city is known for its mosques and historical sites from the early Ottoman Empire. It's nicknamed ""Ye_il Bursa"" (Green Bursa), owing to its many parks and trees, as well as its dramatic mountain backdrop. The 14th-century Ulu Cami (Great Mosque) features Seljuk-style arches and 20 domes.",http://www.tourmakerturkey.com/uploads/8/7/4/4/8744530/2300105_orig.jpg,,"Bursa is a large city in northwest Turkey, lying in the foothills of roughly 2,500m-high Mount Uluda_ near the Sea of Marmara. The city is known for its mosques and historical sites from the early Ottoman Empire. It's nicknamed ""Ye_il Bursa"" (Green Bursa), owing to its many parks and trees, as well as its dramatic mountain backdrop. The 14th-century Ulu Cami (Great Mosque) features Seljuk-style arches and 20 domes."
17,Salt Lake City, United States, UT,188.12,152.54,74.31,69.07,68.46,3.04,38,54.27,68.47,"Salt Lake City, Utah's high-elevation capital, is bordered by the buoyant waters of the Great Salt Lake and the snow-capped peaks of the Wasatch Range. Downtown's 10-acre Temple Square, headquarters of the Mormon Church, is home to the majestic, 19th-century Salt Lake Temple and the neo-Gothic Assembly Hall. The acclaimed Mormon Tabernacle Choir performs in the square's domed Tabernacle.",https://media.deseretdigital.com/file/8c58d70965?type=jpeg&quality=55&c=15&a=4379240d,,"Salt Lake City, Utah's high-elevation capital, is bordered by the buoyant waters of the Great Salt Lake and the snow-capped peaks of the Wasatch Range. Downtown's 10-acre Temple Square, headquarters of the Mormon Church, is home to the majestic, 19th-century Salt Lake Temple and the neo-Gothic Assembly Hall. The acclaimed Mormon Tabernacle Choir performs in the square's domed Tabernacle."
18,Luxembourg, Luxembourg,,187.65,117.13,75.55,74.54,79.84,11.89,33.5,20.39,62.83,"Luxembourg is the capital of the small European nation of the same name. Built amid deep gorges cut by the Alzette and P'trusse rivers, it's famed for its ruins of medieval fortifications. The vast Bock Casemates tunnel network encompasses a dungeon, prison and the Archaeological Crypt, considered the city's birthplace. Along ramparts above, the Chemin de la Corniche promenade offers dramatic viewpoints.",http://4.bp.blogspot.com/-YjqoTcR0rzo/Tnay4rSsVZI/AAAAAAAACHA/OxuThEF_Lto/s1600/DSC03575.JPG,,"Luxembourg is the capital of the small European nation of the same name. Built amid deep gorges cut by the Alzette and P'trusse rivers, it's famed for its ruins of medieval fortifications. The vast Bock Casemates tunnel network encompasses a dungeon, prison and the Archaeological Crypt, considered the city's birthplace. Along ramparts above, the Chemin de la Corniche promenade offers dramatic viewpoints."
19,Cork, Ireland,,187.33,116.8,67.56,61.96,74.19,6.05,39.5,18.51,70.06,"Cork, just inland from Ireland's southwest coast, is a university city with its centre on an island in the River Lee, connected to the sea by Cork Harbour. The castlelike 1824 Cork City Gaol once held prisoners bound for Australia, and exhibitions relay the building's history. The hilltop steeple of 18th-century Shandon Church (officially the Church of Saint Anne) is a symbol of the city.",http://www.hdr-photosmart.com/wp-content/uploads/2015/01/HDR-Photograph.jpg,,"Cork, just inland from Ireland's southwest coast, is a university city with its centre on an island in the River Lee, connected to the sea by Cork Harbour. The castlelike 1824 Cork City Gaol once held prisoners bound for Australia, and exhibitions relay the building's history. The hilltop steeple of 18th-century Shandon Church (officially the Church of Saint Anne) is a symbol of the city."
20,Portland, United States, OR,186.75,117.83,55.92,70.7,80.6,5.19,29.71,22.48,69.06,"Portland, Oregon's largest city, sits on the Columbia and Willamette rivers, in the shadow of snow-capped Mount Hood. It's known for its parks, bridges and bicycle paths, as well as for its eco-friendliness and its microbreweries and coffeehouses. Iconic Washington Park encompasses sites from the formal Japanese Garden to Oregon Zoo and its railway. The city hosts thriving art, theater and music scenes.",https://s3.amazonaws.com/public-ziprecruiter/uploads/2df9ab09.jpg,,"Portland, Oregon's largest city, sits on the Columbia and Willamette rivers, in the shadow of snow-capped Mount Hood. It's known for its parks, bridges and bicycle paths, as well as for its eco-friendliness and its microbreweries and coffeehouses. Iconic Washington Park encompasses sites from the formal Japanese Garden to Oregon Zoo and its railway. The city hosts thriving art, theater and music scenes."
21,Perth, Australia,,186.43,113.65,54.9,71.49,85.73,6.47,36.65,27.84,90.86,"Perth, capital of Western Australia, sits where the Swan River meets the southwest coast. Sandy beaches line its suburbs, and the huge, riverside Kings Park and Botanic Garden on Mt. Eliza offer sweeping views of the city. The Perth Cultural Centre houses the state ballet and opera companies, and occupies its own central precinct, including a theatre, art galleries and the Western Australian Museum.",http://paradiseintheworld.com/wp-content/uploads/2012/05/Perth-Australia.jpg,,"Perth, capital of Western Australia, sits where the Swan River meets the southwest coast. Sandy beaches line its suburbs, and the huge, riverside Kings Park and Botanic Garden on Mt. Eliza offer sweeping views of the city. The Perth Cultural Centre houses the state ballet and opera companies, and occupies its own central precinct, including a theatre, art galleries and the Western Australian Museum."
22,Columbus, United States, OH,186.2,120.68,55.53,69.08,71.7,2.64,26,24.91,58.23,"Columbus is the capital and largest city of the U.S. state of Ohio. It is the 14th-largest city in the United States, with a population of 860,090 as of 2016 estimates. ",http://www.mkskstudios.com/storage/Scioto-Greenways-02-grand-opening-night--photo-timelapse.gif_720.gif?__SQUARESPACE_CACHEVERSION=1459429097337,https://larryhamillphotography.files.wordpress.com/2014/12/2015-col-cal-4-lr.jpg,"Columbus is the capital and largest city of the U.S. state of Ohio. It is the 14th-largest city in the United States, with a population of 860,090 as of 2016 estimates. "
23,Copenhagen, Denmark,,184.09,102.15,78.77,70.03,87.96,8.3,30.88,24.55,67.07,"Copenhagen, Denmark's capital, sits on the coastal islands of Zealand and Amager. It's linked to Malmo in southern Sweden by the 'resund Bridge. Indre By, the city's historic center, contains Frederiksstaden, an 18th-century rococo district, home to the royal family's Amalienborg Palace. Nearby is Christiansborg Palace and the Renaissance-era Rosenborg Castle, surrounded by gardens and home to the crown jewels.",https://lonelyplanetimages.imgix.net/mastheads/GettyImages-126140612_super%20.jpg?sharp=10&vib=20&w=1200,http://eu.ironman.com/~/media/d672585858864174a98b87e6305185e4/477846647%201600.jpg?w=1600&h=980&c=1,"Copenhagen, Denmark's capital, sits on the coastal islands of Zealand and Amager. It's linked to Malmo in southern Sweden by the 'resund Bridge. Indre By, the city's historic center, contains Frederiksstaden, an 18th-century rococo district, home to the royal family's Amalienborg Palace. Nearby is Christiansborg Palace and the Renaissance-era Rosenborg Castle, surrounded by gardens and home to the crown jewels."
24,Ottawa, Canada,,183.54,126.26,77.73,69.01,68.46,5.99,37.83,15.76,31.35,"Ottawa is Canada's capital, in the east of southern Ontario, near the city of Montr'al and the U.S. border. Sitting on the Ottawa River, it has at its centre Parliament Hill, with grand Victorian architecture and museums like the National Gallery of Canada, with noted collections of indigenous and other Canadian art. The park-lined Rideau Canal is filled with boats in summer and ice-skaters in winter.",https://i.ytimg.com/vi/9qnaJexpdrM/maxresdefault.jpg,https://paradigmmalibu.com/wp-content/uploads/2015/01/ottawa-canada-day.jpg,"Ottawa is Canada's capital, in the east of southern Ontario, near the city of Montr'al and the U.S. border. Sitting on the Ottawa River, it has at its centre Parliament Hill, with grand Victorian architecture and museums like the National Gallery of Canada, with noted collections of indigenous and other Canadian art. The park-lined Rideau Canal is filled with boats in summer and ice-skaters in winter."
25,Boston, United States, MA,183.53,131.75,64.25,73.39,89.4,7.55,47.62,24.58,69.96,"Boston is Massachusetts' capital and largest city. Founded in 1630, it's one of the oldest cities in the U.S. The key role it played in the American Revolution is highlighted on the Freedom Trail, a 2.5-mile walking route of historic sites that tells the story of the nation's founding. One stop, former meeting house Faneuil Hall, is a popular marketplace.",http://www.socialventurepartners.org/boston/wp-content/uploads/sites/46/2013/05/Boston-Slider.jpg,https://www.dentons.com/-/media/images/website/background-images/offices/boston/boston_1.jpg,"Boston is Massachusetts' capital and largest city. Founded in 1630, it's one of the oldest cities in the U.S. The key role it played in the American Revolution is highlighted on the Freedom Trail, a 2.5-mile walking route of historic sites that tells the story of the nation's founding. One stop, former meeting house Faneuil Hall, is a popular marketplace."
26,San Jose, United States, CA,182.82,152.9,49.03,63.48,82.75,5.79,33.43,55.85,96.06,"San Jose is a large city surrounded by rolling hills in Silicon Valley, a major technology hub in California's Bay Area. Architectural landmarks, from the 1883 Italianate-style Oddfellows building to Spanish Colonial Revival structures, make up the downtown historic district. The downtown area is also home to the Tech Museum of Innovation, devoted to the exploration of science and technology.",http://www.sanjose.org/media/693852/eastsanjosenhc.jpg,http://cityhub.movoto.com/1459257834888_willow-glen-san-jose-an-inescapable-lure-featured.jpg,"San Jose is a large city surrounded by rolling hills in Silicon Valley, a major technology hub in California's Bay Area. Architectural landmarks, from the 1883 Italianate-style Oddfellows building to Spanish Colonial Revival structures, make up the downtown historic district. The downtown area is also home to the Tech Museum of Innovation, devoted to the exploration of science and technology."
27,Austin, United States, TX,181.79,126.85,65.27,71.56,74.07,4.55,40.28,36.34,67.06,"Austin is the state capital of Texas, an inland city bordering the Hill Country region. Home to the University of Texas flagship campus, Austin is known for its eclectic live-music scene centered around country, blues and rock. Its many parks and lakes are popular for hiking, biking, swimming and boating. South of the city, Formula One's Circuit of the Americas raceway has hosted the United States Grand Prix.",https://u.realgeeks.media/josephgroupatx/12_austin-skyline-sunset1.jpg,https://cache-graphicslib.viator.com/graphicslib/thumbs360x240/13625/SITours/check-out-austin-bike-tour-in-austin-305984.jpg,"Austin is the state capital of Texas, an inland city bordering the Hill Country region. Home to the University of Texas flagship campus, Austin is known for its eclectic live-music scene centered around country, blues and rock. Its many parks and lakes are popular for hiking, biking, swimming and boating. South of the city, Formula One's Circuit of the Americas raceway has hosted the United States Grand Prix."
28,Denver, United States, CO,180.71,139.95,63.56,77.81,82.6,4.11,36.47,37.87,51.86,"Denver, the capital of Colorado, is an American metropolis dating to the Old West era. Larimer Square, the city's oldest block, features landmark 19th-century buildings. Museums include the Denver Art Museum, an ultramodern complex known for its collection of indigenous works, and the mansion of famed Titanic survivor Molly Brown. Denver is also a jumping-off point for ski resorts in the nearby Rocky Mountains.",http://davidbalyeat.com/wp-content/uploads/denver-skyline-panoramic-sunrise-mile-high-city-high-definition-HD-professional-landscape-photography.jpg,http://res.cloudinary.com/simpleview/image/upload/v1476809593/clients/denver/denver_union_station_exterior_2015_991321c8-7b2b-4f91-bd96-1c8826647822.jpg,"Denver, the capital of Colorado, is an American metropolis dating to the Old West era. Larimer Square, the city's oldest block, features landmark 19th-century buildings. Museums include the Denver Art Museum, an ultramodern complex known for its collection of indigenous works, and the mansion of famed Titanic survivor Molly Brown. Denver is also a jumping-off point for ski resorts in the nearby Rocky Mountains."
29,Geneva, Switzerland,,179.04,121.11,72.52,68.85,132.79,11.19,23,28.74,70.4,"Geneva is a city in Switzerland that lies at the southern tip of expansive Lac L'man (Lake Geneva). Surrounded by the Alps and Jura mountains, the city has views of dramatic Mont Blanc. Headquarters of Europe's United Nations and the Red Cross, it's a global hub for diplomacy and banking. French influence is widespread, from the language to gastronomy and bohemian districts like Carouge.",https://du1ux2871uqvu.cloudfront.net/sites/default/files/file/Geneva3.jpg,http://cdn.wanderlust.co.uk/contentimages/wanderlust/magazine-1205.jpg?width=620,"Geneva is a city in Switzerland that lies at the southern tip of expansive Lac L'man (Lake Geneva). Surrounded by the Alps and Jura mountains, the city has views of dramatic Mont Blanc. Headquarters of Europe's United Nations and the Red Cross, it's a global hub for diplomacy and banking. French influence is widespread, from the language to gastronomy and bohemian districts like Carouge."
30,Leeds, United Kingdom,,177.97,106.22,56.64,79.07,65.46,4.68,33,38.49,70.93,"Leeds is a city in the northern English county of Yorkshire. On the south bank of the River Aire, the Royal Armouries houses the national collection of arms and artillery. Across the river, the redeveloped industrial area around Call Lane is famed for bars and live music venues under converted railway arches. Leeds Kirkgate Market features hundreds of indoor and outdoor stalls.",http://www.nscd.ac.uk/wp-content/uploads/2015/07/Headrow-and-town-hall-at-night.jpg,https://trucoslondres.com/wp-content/uploads/2017/03/Leeds-Town-Hall-Wedding-Photography-002.jpg?x87766,"Leeds is a city in the northern English county of Yorkshire. On the south bank of the River Aire, the Royal Armouries houses the national collection of arms and artillery. Across the river, the redeveloped industrial area around Call Lane is famed for bars and live music venues under converted railway arches. Leeds Kirkgate Market features hundreds of indoor and outdoor stalls."
31,Gothenburg, Sweden,,177.88,112.08,54.08,63.49,76.01,10.26,20.73,20.53,60.25,"Gothenburg, a major city in Sweden, is situated off the G_ta _lv river on the country's west coast. An important seaport, it's known for its Dutch-style canals and leafy boulevards like the Avenyn, the city's main thoroughfare, lined with many cafes and shops. Liseberg is a popular amusement park with themed rides, performance venues and a landscaped sculpture garden.",http://swe2016.ehf-euro.com/fileadmin/Content/SWE2016W/Venue_Pictures/Gothenburg/avenyn64_Dick_Gillberg_995_Gothenburg.jpg,http://wide-wallpapers.net/download/gothenburg-central-station-sweden-wide-wallpaper-2560x1600.jpg,"Gothenburg, a major city in Sweden, is situated off the G_ta _lv river on the country's west coast. An important seaport, it's known for its Dutch-style canals and leafy boulevards like the Avenyn, the city's main thoroughfare, lined with many cafes and shops. Liseberg is a popular amusement park with themed rides, performance venues and a landscaped sculpture garden."
32,Seattle, United States, WA,177.79,119.76,60.53,73.25,90.54,6,43.38,31.38,74.09,"Seattle, a city on Puget Sound in the Pacific Northwest, is surrounded by water, mountains and evergreen forests, and contains thousands of acres of parkland. Washington State�s largest city, it�s home to a large tech industry, with Microsoft and Amazon headquartered in its metropolitan area. The futuristic Space Needle, a 1962 World�s Fair legacy, is its most iconic landmark.",http://www.bekinsmovingandstorage.com/wp-content/uploads/2016/03/SeattleCity2.jpg,http://www.dwt.com/files/Uploads/Images/Offices/Seattle/seattle.jpg,"Seattle, a city on Puget Sound in the Pacific Northwest, is surrounded by water, mountains and evergreen forests, and contains thousands of acres of parkland. Washington State  is largest city, it  is home to a large tech industry, with Microsoft and Amazon headquartered in its metropolitan area. The futuristic Space Needle, a 1962 World  is Fair legacy, is its most iconic landmark."
33,Hamilton, Canada,,177.67,130.23,51.91,80.01,61.51,5.83,38.25,41.43,64.99,"Hamilton is a Canadian port city on the western tip of Lake Ontario. The Niagara Escarpment, a huge, forested ridge known locally as ""the mountain"" and dotted with conservation areas and waterfalls, divides the city. The long-distance Bruce Trail runs along the escarpment. HMCS Haida, a naval warship on the city's lakefront, and the Canadian Warplane Heritage Museum in the south, trace Canada's military past.",http://images.dailyhive.com/20161209135131/15666723002_0958c64622_k.jpg,https://static1.squarespace.com/static/5123c12be4b03a5603ce5e72/53bb14dfe4b034a5b5b9375e/53bb1570e4b017640b267c3d/1404772375554/OttawaatNight.jpg,"Hamilton is a Canadian port city on the western tip of Lake Ontario. The Niagara Escarpment, a huge, forested ridge known locally as ""the mountain"" and dotted with conservation areas and waterfalls, divides the city. The long-distance Bruce Trail runs along the escarpment. HMCS Haida, a naval warship on the city's lakefront, and the Canadian Warplane Heritage Museum in the south, trace Canada's military past."
34,Minneapolis, United States, MN,177.63,119.76,53.18,79.56,82.92,3.23,34.31,19.37,42.41,"Minneapolis is a major city in Minnesota that forms ""Twin Cities"" with the neighboring state capital of St. Paul. Bisected by the Mississippi River, it's known for its parks and lakes. Minneapolis is also home to many cultural landmarks like the Walker Art Center, a contemporary art museum, and the adjacent Minneapolis Sculpture Garden, famed for Claes Oldenburg's ""Spoonbridge and Cherry"" sculpture.",http://cdn.minneapolis.org/CMS/25/minneapolis_at_night__hero.png,,"Minneapolis is a major city in Minnesota that forms ""Twin Cities"" with the neighboring state capital of St. Paul. Bisected by the Mississippi River, it's known for its parks and lakes. Minneapolis is also home to many cultural landmarks like the Walker Art Center, a contemporary art museum, and the adjacent Minneapolis Sculpture Garden, famed for Claes Oldenburg's ""Spoonbridge and Cherry"" sculpture."
