INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162071004,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,329,,08/31/2016 09:21:00 PM,21,2016,8,Wednesday,Part One,DEVON ST,42.30812619,-71.07692974,"(42.30812619, -71.07692974)"
I162016908,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,516,,03/03/2016 09:45:00 AM,9,2016,3,Thursday,Part One,TRUMAN PKWY,42.25044024,-71.12184759,"(42.25044024, -71.12184759)"
I162077516,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,329,,09/22/2016 09:47:00 AM,9,2016,9,Thursday,Part One,WASHINGTON ST,42.30576686,-71.08097517,"(42.30576686, -71.08097517)"
I162043332,00423,Aggravated Assault,ASSAULT - AGGRAVATED,C6,186,,06/02/2016 01:27:00 PM,13,2016,6,Thursday,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I162068725,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,316,,08/24/2016 01:03:00 PM,13,2016,8,Wednesday,Part One,HOMESTEAD ST,42.31342215,-71.09348975,"(42.31342215, -71.09348975)"
I162067346,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,238,Y,08/20/2016 12:05:00 AM,0,2016,8,Saturday,Part One,DUDLEY TER,42.31814836,-71.06708346,"(42.31814836, -71.06708346)"
I162034518,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B3,441,,05/04/2016 12:54:00 AM,0,2016,5,Wednesday,Part One,NIGHTINGALE ST,42.29474312,-71.08503786,"(42.29474312, -71.08503786)"
I162037504,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,800,,05/13/2016 10:45:00 PM,22,2016,5,Friday,Part One,PRATT ST,42.35501072,-71.12887911,"(42.35501072, -71.12887911)"
I162036267,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A15,60,,05/09/2016 07:00:00 PM,19,2016,5,Monday,Part One,CITY SQ,42.37211025,-71.06178707,"(42.37211025, -71.06178707)"
I162007096,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,214,,01/26/2016 07:10:00 PM,19,2016,1,Tuesday,Part One,DORCHESTER ST,42.33535781,-71.04590903,"(42.33535781, -71.04590903)"
I162046440,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,285,,06/12/2016 03:36:00 PM,15,2016,6,Sunday,Part One,COVENTRY ST,42.33695098,-71.08574813,"(42.33695098, -71.08574813)"
I162050874,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,823,,06/26/2016 09:18:00 PM,21,2016,6,Sunday,Part One,GREENMOUNT ST,42.31054308,-71.05958278,"(42.31054308, -71.05958278)"
I162056993,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,582,,07/17/2016 07:54:00 PM,19,2016,7,Sunday,Part One,CREIGHTON ST,42.32348445,-71.10813006,"(42.32348445, -71.10813006)"
I162020098,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,249,,03/15/2016 02:46:39 AM,2,2016,3,Tuesday,Part One,TUTTLE ST,42.31351886,-71.053563,"(42.31351886, -71.053563)"
I162006073,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,167,,01/23/2016 12:47:00 AM,0,2016,1,Saturday,Part One,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I162046563,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E18,480,,06/13/2016 02:44:00 AM,2,2016,6,Monday,Part One,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I162045404,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,649,,06/09/2016 03:09:00 AM,3,2016,6,Thursday,Part One,SOUTH ST,42.3071412,-71.11538005,"(42.3071412, -71.11538005)"
I162066265,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,417,Y,08/16/2016 04:29:00 PM,16,2016,8,Tuesday,Part One,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
I162023414,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,329,,03/26/2016 10:30:00 AM,10,2016,3,Saturday,Part One,STANWOOD ST,42.30870132,-71.07932755,"(42.30870132, -71.07932755)"
I162066883,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,268,,08/18/2016 02:57:00 PM,14,2016,8,Thursday,Part One,DUDLEY ST,42.32832264,-71.07861091,"(42.32832264, -71.07861091)"
I162048183,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,337,,06/17/2016 05:21:00 PM,17,2016,6,Friday,Part One,EVERTON ST,42.30481467,-71.07218295,"(42.30481467, -71.07218295)"
I162033260,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,305,,04/29/2016 02:45:00 PM,14,2016,4,Friday,Part One,WALNUT AVE,42.32101261,-71.08587919,"(42.32101261, -71.08587919)"
I162067848,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,604,,08/21/2016 07:10:00 PM,19,2016,8,Sunday,Part One,WAIT ST,42.33114257,-71.10680152,"(42.33114257, -71.10680152)"
I162064091,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,480,,08/09/2016 10:48:00 PM,22,2016,8,Tuesday,Part One,CUMMINS HWY,42.27042943,-71.10069324,"(42.27042943, -71.10069324)"
I162027594,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,799,,04/09/2016 07:49:00 PM,19,2016,4,Saturday,Part One,ASHFORD ST,42.35458677,-71.12673268,"(42.35458677, -71.12673268)"
I162026711,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,527,,04/06/2016 09:47:00 PM,21,2016,4,Wednesday,Part One,PRESCOTT ST,42.23651388,-71.13317161,"(42.23651388, -71.13317161)"
I162047502,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,418,,06/15/2016 09:00:00 PM,21,2016,6,Wednesday,Part One,MAXWELL ST,42.28220579,-71.07791871,"(42.28220579, -71.07791871)"
I162024961,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,298,,03/31/2016 08:10:00 AM,8,2016,3,Thursday,Part One,CIRCUIT SQ,42.32337662,-71.08664761,"(42.32337662, -71.08664761)"
I162078973,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,937,,09/26/2016 10:11:00 PM,22,2016,9,Monday,Part One,CAMDEN ST,42.33744115,-71.08057671,"(42.33744115, -71.08057671)"
I162042857,00542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,A15,41,,05/31/2016 08:33:00 PM,20,2016,5,Tuesday,Part One,BUNKER HILL ST,42.37679994,-71.05700887,"(42.37679994, -71.05700887)"
I162062265,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B3,453,,08/03/2016 05:29:00 PM,17,2016,8,Wednesday,Part One,BRADLEE ST,42.29714531,-71.07409528,"(42.29714531, -71.07409528)"
I162063833,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,291,,08/09/2016 08:08:00 AM,8,2016,8,Tuesday,Part One,LINWOOD SQ,42.3288976,-71.09359501,"(42.3288976, -71.09359501)"
I162078985,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,624,,09/26/2016 11:56:00 PM,23,2016,9,Monday,Part One,BOYLSTON ST,42.34489594,-71.09659186,"(42.34489594, -71.09659186)"
I162019613,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,235,,03/13/2016 10:23:00 AM,10,2016,3,Sunday,Part One,MOSELEY ST,42.31972204,-71.05523096,"(42.31972204, -71.05523096)"
I162044570,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,481,,06/06/2016 08:45:00 AM,8,2016,6,Monday,Part One,HOLLINGSWORTH ST,42.26809427,-71.0990997,"(42.26809427, -71.0990997)"
I162071022,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,157,,08/31/2016 10:10:00 PM,22,2016,8,Wednesday,Part One,W NEWTON ST,42.34063708,-71.07572281,"(42.34063708, -71.07572281)"
I162050266,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,420,Y,06/24/2016 03:22:00 PM,15,2016,6,Friday,Part One,DOONE AVE,42.27807456,-71.08254983,"(42.27807456, -71.08254983)"
I162047077,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,396,Y,06/14/2016 04:57:00 PM,16,2016,6,Tuesday,Part One,DORCHESTER AVE,42.29025219,-71.06304942,"(42.29025219, -71.06304942)"
I162075816,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,770,,09/16/2016 09:00:00 AM,9,2016,9,Friday,Part One,BENNETT ST,42.35111771,-71.15321411,"(42.35111771, -71.15321411)"
I162025762,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,22,,04/03/2016 10:27:00 AM,10,2016,4,Sunday,Part One,MARION ST,42.37575891,-71.03536688,"(42.37575891, -71.03536688)"
I162006185,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,794,,01/23/2016 02:00:00 PM,14,2016,1,Saturday,Part One,PARK VALE AVE,42.35182446,-71.13313369,"(42.35182446, -71.13313369)"
I162007659,00423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,143,,01/29/2016 05:04:00 AM,5,2016,1,Friday,Part One,HUNTINGTON AVE,42.34613087,-71.08094439,"(42.34613087, -71.08094439)"
I162046096,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,619,,06/08/2016 08:00:00 AM,8,2016,6,Wednesday,Part One,WESTLAND AVE,42.34376458,-71.08866865,"(42.34376458, -71.08866865)"
I162068990,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,914,,06/10/2016 07:00:00 AM,7,2016,6,Friday,Part One,OLD COLONY AVE,42.32557398,-71.0524813,"(42.32557398, -71.0524813)"
I162077881,00423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,351,,09/23/2016 01:06:00 PM,13,2016,9,Friday,Part One,DORCHESTER AVE,42.29977582,-71.06029763,"(42.29977582, -71.06029763)"
I162057017,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,577,,07/17/2016 09:25:00 PM,21,2016,7,Sunday,Part One,WASHINGTON ST,42.31485546,-71.0992241,"(42.31485546, -71.0992241)"
I162051202,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,572,,06/28/2016 01:43:00 AM,1,2016,6,Tuesday,Part One,WASHINGTON ST,42.31408519,-71.09998685,"(42.31408519, -71.09998685)"
I162044022,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E13,576,,06/04/2016 03:58:00 PM,15,2016,6,Saturday,Part One,BROOKSIDE AVE,42.31392897,-71.10288162,"(42.31392897, -71.10288162)"
I162054450,00560,Other Burglary,BURGLARY - OTHER - FORCE,D4,143,,07/08/2016 08:55:00 PM,20,2016,7,Friday,Part One,HUNTINGTON AVE,42.347106,-71.079756,"(42.347106, -71.079756)"
I162053533,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,355,,07/05/2016 07:47:00 PM,19,2016,7,Tuesday,Part One,ADAMS ST,42.29903803,-71.05780292,"(42.29903803, -71.05780292)"
I162041895,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,103,,05/28/2016 05:02:00 PM,17,2016,5,Saturday,Part One,SCHOOL ST,42.3575462,-71.05881953,"(42.3575462, -71.05881953)"
I162031748,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,799,,04/23/2016 03:00:00 PM,15,2016,4,Saturday,Part One,CHESTER ST,42.35316369,-71.12820416,"(42.35316369, -71.12820416)"
I162047171,00561,Other Burglary,BURGLARY - OTHER - ATTEMPT,C11,372,,06/14/2016 08:46:00 PM,20,2016,6,Tuesday,Part One,WALNUT ST,42.28791697,-71.04001774,"(42.28791697, -71.04001774)"
I162030241,00562,Other Burglary,BURGLARY - OTHER - NO FORCE,C6,186,,04/17/2016 10:00:00 AM,10,2016,4,Sunday,Part One,SOUTHAMPTON ST,42.33058014,-71.06248386,"(42.33058014, -71.06248386)"
I162002955,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,790,,01/11/2016 02:00:00 PM,14,2016,1,Monday,Part One,ENGLEWOOD AVE,42.33791824,-71.1486764,"(42.33791824, -71.1486764)"
I162074185,00423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,392,,09/11/2016 05:23:00 PM,17,2016,9,Sunday,Part One,ADAMS ST,42.28787216,-71.05506324,"(42.28787216, -71.05506324)"
I162000823,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E18,520,,01/03/2016 08:48:00 PM,20,2016,1,Sunday,Part One,HYDE PARK AVE,42.25843909,-71.12348834,"(42.25843909, -71.12348834)"
I162001342,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,619,,01/05/2016 09:30:00 AM,9,2016,1,Tuesday,Part One,WESTLAND AVE,42.34376458,-71.08866865,"(42.34376458, -71.08866865)"
I162029448,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,,,04/16/2016 04:39:00 AM,4,2016,4,Saturday,Part One,,,,"(0E-8, 0E-8)"
I162057332,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,21,,07/18/2016 08:51:00 PM,20,2016,7,Monday,Part One,BREMEN ST,42.37474388,-71.03207627,"(42.37474388, -71.03207627)"
I162033896,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,450,,05/01/2016 07:05:00 PM,19,2016,5,Sunday,Part One,DUNLAP ST,42.29281079,-71.07327594,"(42.29281079, -71.07327594)"
I162003014,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,533,,01/11/2016 08:01:00 PM,20,2016,1,Monday,Part One,READVILLE ST,42.24525124,-71.13465321,"(42.24525124, -71.13465321)"
I162050523,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,259,,06/25/2016 01:32:00 PM,13,2016,6,Saturday,Part One,ALEXANDER ST,42.31694244,-71.06991213,"(42.31694244, -71.06991213)"
I162013650,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,901,,02/20/2016 09:21:00 PM,21,2016,2,Saturday,Part One,HORADAN WAY,42.33371742,-71.09665806,"(42.33371742, -71.09665806)"
I162021226,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,93,,03/17/2016 07:10:00 PM,19,2016,3,Thursday,Part One,FANEUIL HALL SQ,42.35981969,-71.05637691,"(42.35981969, -71.05637691)"
I162063717,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,418,,08/08/2016 06:33:00 PM,18,2016,8,Monday,Part One,FULLER ST,42.28009279,-71.0800541,"(42.28009279, -71.0800541)"
I162040766,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,814,,05/25/2016 04:39:00 AM,4,2016,5,Wednesday,Part One,HOPEDALE ST,42.35970705,-71.12673506,"(42.35970705, -71.12673506)"
I162061494,00542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,E13,573,,07/31/2016 03:45:00 PM,15,2016,7,Sunday,Part One,AMORY ST,42.3087073,-71.10821451,"(42.3087073, -71.10821451)"
I162006502,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,121,,01/25/2016 02:24:00 AM,2,2016,1,Monday,Part One,STUART ST,42.35106637,-71.06549569,"(42.35106637, -71.06549569)"
I162048414,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,909,,06/18/2016 02:06:00 PM,14,2016,6,Saturday,Part One,RUGGLES ST,42.33445761,-71.088061,"(42.33445761, -71.088061)"
I162051607,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,155,,06/29/2016 08:30:00 AM,8,2016,6,Wednesday,Part One,MASSACHUSETTS AVE,42.33998273,-71.080974,"(42.33998273, -71.080974)"
I162003445,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D4,141,,01/13/2016 12:34:00 PM,12,2016,1,Wednesday,Part One,COMMONWEALTH AVE,42.34945353,-71.08644334,"(42.34945353, -71.08644334)"
I162020056,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,915,,03/14/2016 06:56:00 PM,18,2016,3,Monday,Part One,E NINTH ST,42.33214285,-71.05121359,"(42.33214285, -71.05121359)"
I162020673,00423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,619,,03/16/2016 09:07:00 PM,21,2016,3,Wednesday,Part One,WESTLAND AVE,42.34391716,-71.08967541,"(42.34391716, -71.08967541)"
I162023454,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,156,,03/25/2016 09:30:00 AM,9,2016,3,Friday,Part One,W CONCORD ST,42.33961962,-71.07699237,"(42.33961962, -71.07699237)"
I162076842,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B3,459,,09/20/2016 09:15:00 AM,9,2016,9,Tuesday,Part One,ERIE ST,42.3031568,-71.07874799,"(42.3031568, -71.07874799)"
I162078665,00542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,E5,658,,09/25/2016 11:00:00 PM,23,2016,9,Sunday,Part One,VFW PKWY,42.297084,-71.13395822,"(42.297084, -71.13395822)"
I162055373,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,901,,07/12/2016 10:24:00 AM,10,2016,7,Tuesday,Part One,MCGREEVEY WAY,42.33528037,-71.0987126,"(42.33528037, -71.0987126)"
I162014131,00423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,111,,02/22/2016 04:20:00 PM,16,2016,2,Monday,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.0608798)"
I162006072,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,93,,01/23/2016 02:08:00 AM,2,2016,1,Saturday,Part One,NORTH ST,42.36036915,-71.05672172,"(42.36036915, -71.05672172)"
I162025168,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,E13,645,,03/31/2016 07:45:00 PM,19,2016,3,Thursday,Part One,CENTRE ST,42.31127465,-71.11448366,"(42.31127465, -71.11448366)"
I162036873,00562,Other Burglary,BURGLARY - OTHER - NO FORCE,B2,613,,05/11/2016 09:00:00 PM,21,2016,5,Wednesday,Part One,RIVERWAY,42.34219356,-71.10649506,"(42.34219356, -71.10649506)"
I162017493,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,138,,03/05/2016 06:25:00 PM,18,2016,3,Saturday,Part One,BOYLSTON ST,42.34932471,-71.08014801,"(42.34932471, -71.08014801)"
I162006547,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D14,807,,01/24/2016 08:30:00 AM,8,2016,1,Sunday,Part One,ANTWERP ST,42.36105643,-71.13910599,"(42.36105643, -71.13910599)"
I162059222,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,450,,07/25/2016 07:41:00 AM,7,2016,7,Monday,Part One,WHITFIELD ST,42.29276044,-71.07486603,"(42.29276044, -71.07486603)"
I162026085,00542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,B2,586,,04/04/2016 03:25:00 PM,15,2016,4,Monday,Part One,TERRACE ST,42.32911928,-71.09782102,"(42.32911928, -71.09782102)"
I162036435,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,281,,05/10/2016 02:45:00 PM,14,2016,5,Tuesday,Part One,KEARSARGE AVE,42.3268502,-71.08213196,"(42.3268502, -71.08213196)"
I162027300,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,587,,04/08/2016 06:07:00 PM,18,2016,4,Friday,Part One,ALLEGHANY ST,42.33056977,-71.09959089,"(42.33056977, -71.09959089)"
I162048551,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,456,Y,06/19/2016 12:35:00 AM,0,2016,6,Sunday,Part One,ELLINGTON ST,42.30225172,-71.07935688,"(42.30225172, -71.07935688)"
I162040326,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,443,,05/23/2016 05:41:00 PM,17,2016,5,Monday,Part One,HARVARD ST,42.29648008,-71.08001594,"(42.29648008, -71.08001594)"
I162028227,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,19,,04/12/2016 03:46:00 AM,3,2016,4,Tuesday,Part One,SARATOGA ST,42.37864819,-71.03089238,"(42.37864819, -71.03089238)"
I162034135,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,460,,05/02/2016 02:24:00 PM,14,2016,5,Monday,Part One,WASHINGTON ST,42.30422176,-71.07918459,"(42.30422176, -71.07918459)"
I162031418,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,707,,04/23/2016 04:11:00 AM,4,2016,4,Saturday,Part One,WASHINGTON ST,42.26918248,-71.14845197,"(42.26918248, -71.14845197)"
I162030681,00423,Aggravated Assault,ASSAULT - AGGRAVATED,D14,938,,04/19/2016 10:30:00 PM,22,2016,4,Tuesday,Part One,FIDELIS WAY,42.3458376,-71.14492138,"(42.3458376, -71.14492138)"
I162011499,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,465,,02/12/2016 03:31:00 PM,15,2016,2,Friday,Part One,BLUE HILL AVE,42.28693222,-71.09070677,"(42.28693222, -71.09070677)"
I162030119,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,638,,04/08/2016 09:00:00 AM,9,2016,4,Friday,Part One,BOYLSTON ST,42.31699715,-71.10606776,"(42.31699715, -71.10606776)"
I162007838,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,337,,01/29/2016 04:41:00 PM,16,2016,1,Friday,Part One,BLAKEVILLE ST,42.30470597,-71.07091547,"(42.30470597, -71.07091547)"
I162006968,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,469,,01/26/2016 04:41:00 PM,16,2016,1,Tuesday,Part One,MATTAPAN ST,42.27842719,-71.09637125,"(42.27842719, -71.09637125)"
I162009474,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,D14,806,,02/04/2016 01:43:00 AM,1,2016,2,Thursday,Part One,WESTERN AVE,42.36223947,-71.14174147,"(42.36223947, -71.14174147)"
I162078071,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D4,627,,09/23/2016 11:18:00 PM,23,2016,9,Friday,Part One,PETERBOROUGH ST,42.34280177,-71.1006951,"(42.34280177, -71.1006951)"
I162066618,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,460,,08/17/2016 01:22:00 PM,13,2016,8,Wednesday,Part One,MORSE ST,42.30422029,-71.07840374,"(42.30422029, -71.07840374)"
I162053543,00423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,,,07/05/2016 08:00:00 PM,20,2016,7,Tuesday,Part One,,,,"(0E-8, 0E-8)"
I162054474,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,608,,07/09/2016 12:44:00 AM,0,2016,7,Saturday,Part One,S HUNTINGTON AVE,42.33041036,-71.11148382,"(42.33041036, -71.11148382)"
I162002773,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,326,,01/11/2016 12:22:00 AM,0,2016,1,Monday,Part One,LAWRENCE AVE,42.31286677,-71.07841587,"(42.31286677, -71.07841587)"
I162029972,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,117,,04/18/2016 08:07:00 AM,8,2016,4,Monday,Part One,BOYLSTON ST,42.3523119,-71.0637051,"(42.3523119, -71.0637051)"
I162032362,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,111,,04/25/2016 05:15:00 PM,17,2016,4,Monday,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I162016235,00423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,356,,02/29/2016 10:06:00 PM,22,2016,2,Monday,Part One,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I162057880,00562,Other Burglary,BURGLARY - OTHER - NO FORCE,A15,38,,07/18/2016 08:00:00 PM,20,2016,7,Monday,Part One,THIRD AVE,42.37627664,-71.05383757,"(42.37627664, -71.05383757)"
I162045104,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,330,,03/11/2016 09:29:00 AM,9,2016,3,Friday,Part One,SUPPLE RD,42.30565415,-71.08186812,"(42.30565415, -71.08186812)"
